"LOJA","NM_LOJA","DT_VENDA","MES_VENDA","ANO_VENDA","SKU","SKU_DESC","CLIENTE","CEP","VENDA"
41,"Anália Franco","2020-02-14",2,2020,14936149440000,"CIMENTO CPII 32 TODAS AS OBRA 50KG VOT","7777949XXXXXXXXXXXXX",3335110,96.31
44,"Campo Grande","2020-02-29",2,2020,14145722141000,"Rodape 120mm easy y01 2,10m","145X27526XXXXXXXXXXX",78455000,136.84
45,"São Bernardo","2020-02-07",2,2020,14755314720000,"Perfil aco em l25/30 larg 0,50mm-3m knaf","144749533XXXXXXXXXXX",9450000,11.34
45,"São Bernardo","2020-02-10",2,2020,14929625600000,"ARG PORC E PEDRAS CZ 20KG AXTON","1447X6773XXXXXXXXXXX",9850017,23.31
45,"São Bernardo","2020-02-13",2,2020,14933540000000,"Kit Vaso Sanit C/Cx 3/6L Vert Debba Br","144447X37XXXXXXXXXXX",9090290,97.78
46,"Tamboré","2020-02-21",2,2020,14931441620000,"RODAPE 70MM N°11 1,80M ARTENS","144736736XXXXXXXXXXX",6445000,21.57
46,"Tamboré","2019-02-19",2,2019,14974514240000,"MANTA 1,20X8,0 AXTON M2","5996X27XXXXXXXXXXXXX",86015090,31.08
50,"Maceio","2019-02-14",2,2019,14145157210000,"Conj tom 10a Miluz","1427141431414XXXXXXX",57035330,1.4
58,"Marginal Tietê 2","2020-02-17",2,2020,14714070143000,"Cabo flex 2,5mm2 100m pt Megatron","69414967XXXXXXXXXXXX",1236030,4.77
58,"Marginal Tietê 2","2020-02-12",2,2020,14755407500000,"Parafuso TA 25 chapa perfil cx1000 knauf","57729XXXXXXXXXXXXXXX",5024000,8.21
58,"Marginal Tietê 2","2020-02-04",2,2020,14755407500000,"Parafuso TA 25 chapa perfil cx1000 knauf","144714X452XXXXXXXXXX",2563180,2.22
1,"Interlagos","2020-03-25",3,2020,14513732500000,"Acril fo rende muito 3,6l branco neve","1414X314775XXXXXXXXX",7807390,5.54
1,"Interlagos","2019-03-23",3,2019,14920461200000,"REJ BRANCO 1KG ACRIL AREA UMIDA ARGATEX","6X67767XXXXXXXXXXXXX",4671010,6.34
2,"Ribeirão Preto","2020-03-04",3,2020,14591419450000,"CAL HIDRATADA CONSTRUÇÃO CIVIL 20KG VOT","145X535914XXXXXXXXXX",14098555,15.32
3,"Campinas D. Pedro","2020-03-19",3,2020,14991114010000,"PISO BR INT 53X53 NAPOLI M2","1434671479XXXXXXXXXX",13091900,114.01
3,"Campinas D. Pedro","2019-03-09",3,2019,14922991000000,"ELEMENTO VAZADO QUADRICULADO 9FUROS","14623X53XXXXXXXXXXXX",13348570,35.4
4,"Contagem","2020-03-28",3,2020,90323093000000,"ROD CHP 40KG SL 2 C/FR 2 S/FR 50MM IN 4U","144414699XXXXXXXXXXX",30310750,2.87
4,"Contagem","2020-03-17",3,2020,14945299300000,"Gab Lotus L60xP42cm Br/Nogal Fabribam","141465XX62XXXXXXXXXX",30610280,35.3
4,"Contagem","2020-03-07",3,2020,14927733500000,"Caixa sobrep 12/16 disj pta br","1444614766XXXXXXXXXX",32210110,4.79
4,"Contagem","2020-03-23",3,2020,14914314973000,"ESPÁTULA PVC 200MM LISA MOMFORTT","1433149257XXXXXXXXXX",30380262,1.1
4,"Contagem","2020-03-12",3,2020,14922971440000,"ARGAMASSA COLANTE ACII MG","66X3593XXXXXXXXXXXXX",30520030,27.3
4,"Contagem","2019-03-27",3,2019,14914799930000,"PISO AC INT 47X47 CA17600 ATENAS BCO M2","143257745XXXXXXXXXXX",30620680,4.62
5,"Raposo Tavares","2019-03-09",3,2019,14693146140000,"Ct 10 paraf aco p/aglom cab chata 4,5x16","469314147XXXXXXXXXXX",5572090,2.5700000000000003
5,"Raposo Tavares","2020-03-18",3,2020,14923909400000,"PORTA FORTLINE POSTIGO BRI 210X86 D","4714X273XXXXXXXXXXXX",5570000,39.36
5,"Raposo Tavares","2020-03-13",3,2020,14914271464000,"EMULSÃO ASFÁLTICA MULTISEAL PRIME SIKA","214565X6XXXXXXXXXXXX",5398140,0.23
